"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"643","Mason Lohrei","BOS","D","29","492.06666666667","494","530","48.24","347","367","48.60","224","229","49.45","24","17","58.54","21.54","26.56","44.79","224","248","47.46","83","114","42.13","9","10","47.37","141","134","51.27","9","2","81.82","314","285","52.42","6","5","54.55","10.71","92.58","1.033","68","106","52","417","56.67","169","160","119","58.68"
"479","Filip Hallander","PIT","C","13","170.85","175","188","48.21","119","135","46.85","86","91","48.59","9","4","69.23","10.19","10.19","50.00","93","102","47.69","44","34","56.41","3","1","75.00","49","68","41.88","3","2","60.00","95","97","49.48","3","1","75.00","10.47","95.60","1.061","26","35","22","151","54.17","47","49","47","50.00"
"645","Josh Dunne","BUF","C","20","177.63333333333","160","172","48.19","111","119","48.26","73","71","50.69","5","10","33.33","7.54","8.25","47.75","75","65","53.57","33","32","50.77","3","6","33.33","42","33","56.00","1","1","50.00","77","113","40.53","1","3","25.00","6.85","85.92","0.928","13","57","39","151","25.00","19","72","63","23.17"
"550","Jayden Struble","MTL","D","27","413.48333333333","340","366","48.16","249","259","49.02","143","174","45.11","11","18","37.93","16.84","18.71","47.36","173","166","51.03","60","76","44.12","5","9","35.71","113","90","55.67","4","6","40.00","190","195","49.35","2","3","40.00","7.69","89.66","0.973","52","72","27","343","65.82","108","113","79","57.75"
"150","Cody Ceci","L.A","D","32","559.46666666667","518","559","48.10","351","406","46.37","219","260","45.72","15","23","39.47","25.79","29.72","46.46","254","272","48.29","115","132","46.56","9","16","36.00","139","140","49.82","5","4","55.56","263","351","42.83","0","3","0.00","6.85","91.15","0.980","39","90","108","440","26.53","122","156","216","36.09"
"697","Arber Xhekaj","MTL","D","29","348.91666666667","300","324","48.08","213","219","49.31","131","144","47.64","10","19","34.48","13.52","15.27","46.96","134","150","47.18","52","60","46.43","4","11","26.67","82","90","47.67","4","6","40.00","163","164","49.85","2","2","50.00","7.63","86.81","0.944","24","76","28","317","46.15","78","112","74","51.32"
"439","Neal Pionk","WPG","D","28","640.41666666667","638","691","48.01","466","501","48.19","299","325","47.92","28","33","45.90","35.07","43.06","44.89","304","360","45.78","133","147","47.50","15","10","60.00","171","213","44.53","6","15","28.57","377","405","48.21","5","7","41.67","9.36","89.85","0.992","72","119","133","450","35.12","189","173","242","43.85"
"133","Rickard Rakell","PIT","R","12","224.96666666667","219","238","47.92","160","171","48.34","105","117","47.30","18","10","64.29","15.76","12.46","55.85","118","123","48.96","55","48","53.40","9","9","50.00","63","75","45.65","4","0","100.00","146","131","52.71","4","1","80.00","17.14","91.45","1.086","58","57","27","126","68.24","111","71","62","64.16"
"284","Rasmus Andersson","CGY","D","34","819.98333333333","781","849","47.91","569","634","47.30","384","423","47.58","47","44","51.65","42.62","46.96","47.58","336","417","44.62","163","171","48.80","26","27","49.06","173","246","41.29","6","12","33.33","537","555","49.18","12","4","75.00","12.24","89.60","1.018","141","148","202","650","41.11","321","237","373","46.25"
"575","Adam Edstrom","NYR","C","24","229.6","202","220","47.87","137","156","46.76","85","110","43.59","10","5","66.67","8.52","9.29","47.83","85","93","47.75","43","35","55.13","4","1","80.00","42","58","42.00","3","1","75.00","115","136","45.82","2","3","40.00","11.76","95.45","1.072","18","48","40","230","31.03","36","61","79","31.30"
"758","Ivan Ivan","COL","C","3","24.966666666667","22","24","47.83","17","15","53.13","13","9","59.09","1","0","100.00","0.99","0.69","58.89","8","8","50.00","3","2","60.00","1","0","100.00","5","6","45.45","0","0","-","16","16","50.00","0","0","-","7.69","100.00","1.077","4","8","2","24","66.67","6","11","6","50.00"
"795","Connor Clattenburg","EDM","C","5","36.033333333333","33","36","47.83","26","25","50.98","18","17","51.43","1","0","100.00","2","0.98","67.27","12","9","57.14","8","2","80.00","1","0","100.00","4","7","36.36","0","0","-","19","24","44.19","0","0","-","5.56","100.00","1.056","1","9","0","40","100.00","4","11","6","40.00"
"574","Elmer Soderblom","DET","L","21","225.23333333333","197","215","47.82","148","152","49.33","86","103","45.50","4","7","36.36","10.37","9.34","52.61","96","100","48.98","49","36","57.65","3","1","75.00","47","64","42.34","0","4","0.00","101","120","45.70","1","2","33.33","4.65","93.20","0.979","30","43","29","205","50.85","46","64","61","42.99"
"178","Liam O'Brien","UTA","C","16","144.88333333333","131","143","47.81","91","96","48.66","56","62","47.46","4","8","33.33","5.64","6.27","47.38","58","61","48.74","30","29","50.85","1","3","25.00","28","32","46.67","0","3","0.00","72","75","48.98","3","2","60.00","7.14","87.10","0.942","25","40","18","127","58.14","37","55","41","47.44"
"142","Brendan Gaunce","CBJ","C","12","139.51666666667","119","130","47.79","78","86","47.56","52","58","47.27","5","5","50.00","5.23","5.75","47.67","50","61","45.05","23","19","54.76","2","1","66.67","27","42","39.13","2","4","33.33","63","72","46.67","1","0","100.00","9.62","91.38","1.010","16","30","33","121","32.65","19","40","47","28.79"
"23","Mikael Backlund","CGY","C","34","581.08333333333","533","583","47.76","386","430","47.30","272","282","49.10","27","25","51.92","27.27","32.73","45.45","209","299","41.14","101","127","44.30","10","14","41.67","108","172","38.57","6","9","40.00","303","419","41.97","8","2","80.00","9.93","91.13","1.011","46","140","229","390","16.73","116","201","372","23.77"
"752","Nikita Grebenkin","PHI","R","22","228.16666666667","169","185","47.74","116","128","47.54","75","83","47.47","6","9","40.00","6.53","8.36","43.86","82","93","46.86","29","47","38.16","1","4","20.00","53","46","53.54","4","3","57.14","92","97","48.68","1","2","33.33","8.00","89.16","0.972","26","69","22","186","54.17","51","84","53","49.04"
"482","Jack McBain","UTA","C","35","486.53333333333","463","507","47.73","320","362","46.92","205","234","46.70","23","33","41.07","25.65","29.88","46.19","228","265","46.25","109","112","49.32","11","19","36.67","119","153","43.75","4","11","26.67","261","292","47.20","6","3","66.67","11.22","85.90","0.971","80","114","96","409","45.45","140","146","165","45.90"
"38","Jared Spurgeon","MIN","D","34","707.2","657","720","47.71","489","517","48.61","307","331","48.12","29","28","50.88","37.62","35.96","51.13","322","359","47.28","137","139","49.64","12","13","48.00","185","220","45.68","6","9","40.00","371","434","46.09","7","4","63.64","9.45","91.54","1.010","82","108","113","552","42.05","230","194","248","48.12"
"543","Marshall Warren","NYI","D","2","24.266666666667","20","22","47.62","15","17","46.88","8","12","40.00","2","1","66.67","1.07","0.94","53.19","13","12","52.00","5","5","50.00","2","0","100.00","8","7","53.33","0","1","0.00","8","13","38.10","0","0","-","25.00","91.67","1.167","5","4","4","23","55.56","6","6","7","46.15"
"313","Jeremy Lauzon","VGK","D","17","270.41666666667","239","263","47.61","169","177","48.84","107","100","51.69","12","13","48.00","8.71","10.54","45.26","93","118","44.08","40","41","49.38","7","8","46.67","53","77","40.77","3","2","60.00","151","163","48.09","2","3","40.00","11.21","87.00","0.982","27","53","52","237","34.18","72","86","98","42.35"
"713","David Jiricek","MIN","D","15","187.16666666667","199","219","47.61","141","165","46.08","88","110","44.44","9","10","47.37","9.69","12.4","43.86","95","114","45.45","45","55","45.00","5","5","50.00","50","59","45.87","2","2","50.00","106","111","48.85","2","2","50.00","10.23","90.91","1.011","18","24","22","170","45.00","50","41","57","46.73"
"658","Aatu Raty","VAN","C","28","338.36666666667","312","344","47.56","232","239","49.26","128","137","48.30","15","13","53.57","13.95","18.1","43.52","142","162","46.71","58","75","43.61","8","8","50.00","84","87","49.12","4","3","57.14","210","225","48.28","3","1","75.00","11.72","90.51","1.022","65","58","114","263","36.31","106","76","162","39.55"
"175","Vinnie Hinostroza","MIN","C","22","249.81666666667","233","257","47.55","152","185","45.10","91","125","42.13","7","10","41.18","9.68","12.94","42.79","102","127","44.54","36","61","37.11","1","6","14.29","66","66","50.00","2","3","40.00","138","154","47.26","3","1","75.00","7.69","92.00","0.997","36","45","32","182","52.94","61","76","80","43.26"
"183","Connor Clifton","PIT","D","14","224.35","201","222","47.52","142","140","50.35","89","88","50.28","4","9","30.77","9.47","9.48","49.98","95","97","49.48","43","31","58.11","3","4","42.86","52","66","44.07","0","2","0.00","103","137","42.92","1","3","25.00","4.49","89.77","0.943","12","42","31","179","27.91","41","65","65","38.68"
"263","Jake Walman","EDM","D","17","342.05","326","360","47.52","225","264","46.01","152","169","47.35","20","23","46.51","14.56","22.46","39.32","134","205","39.53","53","78","40.46","7","11","38.89","81","127","38.94","9","7","56.25","210","176","54.40","4","4","50.00","13.16","86.39","0.995","45","68","46","247","49.45","108","105","92","54.00"
"55","Brian Dumoulin","L.A","D","32","620.53333333333","553","611","47.51","390","442","46.88","252","283","47.10","16","20","44.44","23.34","32.5","41.80","244","281","46.48","110","142","43.65","11","14","44.00","134","139","49.08","3","3","50.00","324","365","47.02","2","3","40.00","6.35","92.93","0.993","55","107","113","456","32.74","167","180","211","44.18"
"339","Vladislav Gavrikov","NYR","D","35","826.85","753","832","47.51","535","602","47.05","334","405","45.20","28","33","45.90","37.94","44.84","45.84","352","384","47.83","163","146","52.75","13","18","41.94","189","238","44.26","8","9","47.06","454","517","46.76","4","6","40.00","8.38","91.85","1.002","110","173","140","524","44.00","274","266","301","47.65"
"403","Nicolas Hague","NSH","D","24","476.9","410","453","47.51","288","357","44.65","180","252","41.67","19","34","35.85","19.93","25.59","43.79","188","237","44.24","90","96","48.39","12","16","42.86","98","141","41.00","6","12","33.33","242","263","47.92","1","6","14.29","10.56","86.51","0.971","45","79","71","381","38.79","120","139","174","40.82"
"190","Anthony Duclair","NYI","L","34","443.28333333333","407","450","47.49","289","312","48.09","197","212","48.17","22","15","59.46","21.35","23.42","47.69","192","209","47.88","82","95","46.33","10","7","58.82","110","114","49.11","10","5","66.67","251","253","49.80","2","3","40.00","11.17","92.92","1.041","97","94","47","329","67.36","161","130","98","62.16"
"496","Declan Chisholm","WSH","D","12","177.4","167","185","47.44","110","135","44.90","67","78","46.21","7","7","50.00","7.68","10.68","41.82","87","84","50.88","32","43","42.67","4","4","50.00","55","41","57.29","2","3","40.00","81","110","42.41","1","0","100.00","10.45","91.03","1.015","8","24","17","158","32.00","33","44","39","45.83"
"282","Frank Vatrano","ANA","R","34","424.05","414","459","47.42","292","335","46.57","203","210","49.15","11","21","34.38","19.45","24.67","44.09","185","246","42.92","77","103","42.78","7","9","43.75","108","143","43.03","4","7","36.36","230","249","48.02","0","5","0.00","5.42","90.00","0.954","71","93","79","351","47.33","117","127","134","46.61"
"75","Justin Faulk","STL","D","34","771.03333333333","661","734","47.38","467","528","46.93","336","354","48.70","33","39","45.83","32.58","35.37","47.95","317","297","51.63","136","125","52.11","11","16","40.74","181","172","51.27","17","9","65.38","395","475","45.40","4","14","22.22","9.82","88.98","0.988","104","138","115","588","47.49","229","208","209","52.28"
"226","Ross Johnston","ANA","L","33","309.56666666667","271","301","47.38","177","215","45.15","111","148","42.86","13","14","48.15","11.37","13.32","46.05","121","161","42.91","44","61","41.90","10","9","52.63","77","100","43.50","3","5","37.50","148","161","47.90","0","0","-","11.71","90.54","1.023","51","71","53","253","49.04","77","91","91","45.83"
"749","Adam Engstrom","MTL","D","6","75.3","54","60","47.37","35","43","44.87","20","31","39.22","2","2","50.00","1.92","2.48","43.65","23","23","50.00","8","6","57.14","0","0","-","15","17","46.88","1","1","50.00","37","33","52.86","1","0","100.00","10.00","93.55","1.035","15","8","5","70","75.00","26","17","12","68.42"
"16","Jamie Benn","DAL","L","15","198.9","170","189","47.35","117","134","46.61","81","85","48.80","13","9","59.09","9.97","10.11","49.63","93","97","48.95","37","41","47.44","7","5","58.33","56","56","50.00","3","2","60.00","94","107","46.77","2","2","50.00","16.05","89.41","1.055","35","55","32","163","52.24","60","79","65","48.00"
"63","Nick Jensen","OTT","D","32","538.03333333333","461","513","47.33","326","374","46.57","211","253","45.47","20","36","35.71","22.57","26.75","45.77","236","244","49.17","89","105","45.88","14","19","42.42","147","139","51.40","3","14","17.65","259","273","48.68","3","3","50.00","9.48","85.77","0.952","54","93","60","549","47.37","122","151","117","51.05"
"10","Nick Foligno","CHI","L","15","209.33333333333","176","196","47.31","125","139","47.35","80","88","47.62","9","8","52.94","10.42","10.14","50.69","83","89","48.26","33","37","47.14","5","3","62.50","50","52","49.02","4","2","66.67","101","139","42.08","0","3","0.00","11.25","90.91","1.022","24","45","64","175","27.27","47","57","104","31.13"
"89","Dylan McIlrath","WSH","D","4","44.766666666667","35","39","47.30","20","27","42.55","10","20","33.33","1","0","100.00","1.36","1.43","48.72","16","17","48.48","8","5","61.54","0","0","-","8","12","40.00","1","0","100.00","14","31","31.11","0","0","-","10.00","100.00","1.100","3","8","13","32","18.75","8","12","20","28.57"
"520","Peyton Krebs","BUF","C","32","439.76666666667","394","439","47.30","281","312","47.39","183","193","48.67","15","19","44.12","19.13","20.7","48.03","183","187","49.46","77","73","51.33","9","9","50.00","106","114","48.18","5","8","38.46","215","290","42.57","1","1","50.00","8.20","90.16","0.984","52","115","80","349","39.39","89","142","156","36.33"
"154","Jacob Trouba","ANA","D","34","753.95","768","856","47.29","573","628","47.71","382","424","47.39","39","41","48.75","38.31","49.37","43.70","351","466","42.96","151","193","43.90","18","27","40.00","200","273","42.28","15","6","71.43","442","514","46.23","5","7","41.67","10.21","90.33","1.005","86","144","156","548","35.54","244","227","309","44.12"
"733","Matt Savoie","EDM","C","34","490.71666666667","444","495","47.28","337","367","47.87","220","217","50.34","25","28","47.17","26.01","30.06","46.38","203","280","42.03","90","119","43.06","12","15","44.44","113","161","41.24","7","8","46.67","268","271","49.72","6","5","54.55","11.36","87.10","0.985","81","99","99","376","45.00","151","134","173","46.60"
"740","Marc Gatcomb","NYI","C","8","82.45","60","67","47.24","40","40","50.00","29","23","55.77","2","1","66.67","2.61","2.43","51.77","18","27","40.00","13","14","48.15","2","1","66.67","5","13","27.78","0","0","-","44","42","51.16","0","0","-","6.90","95.65","1.025","10","29","14","65","41.67","25","39","27","48.08"
"373","Taylor Raddysh","NYR","R","33","380.45","340","380","47.22","239","264","47.51","152","156","49.35","12","11","52.17","15.68","16.08","49.36","147","152","49.16","66","60","52.38","5","4","55.56","81","92","46.82","4","1","80.00","202","241","45.60","3","6","33.33","7.89","92.95","1.008","46","70","49","377","48.42","80","94","101","44.20"
"270","Gustav Forsling","FLA","D","32","703.1","641","717","47.20","467","536","46.56","307","364","45.75","36","47","43.37","35.62","43.65","44.93","318","354","47.32","140","172","44.87","27","25","51.92","178","182","49.44","4","16","20.00","362","429","45.76","3","6","33.33","11.73","87.09","0.988","75","123","125","530","37.50","209","188","259","44.66"
"429","Dylan Samberg","WPG","D","16","343.76666666667","312","349","47.20","223","250","47.15","148","154","49.01","12","19","38.71","16.69","18.66","47.20","142","162","46.71","60","63","48.78","7","5","58.33","82","99","45.30","4","10","28.57","186","230","44.71","1","4","20.00","8.11","87.66","0.958","27","70","76","249","26.21","76","99","137","35.68"
"677","Isak Rosen","BUF","R","12","168.21666666667","152","170","47.20","113","107","51.36","68","74","47.89","8","9","47.06","8.01","8.61","48.20","74","60","55.22","28","21","57.14","3","5","37.50","46","39","54.12","4","3","57.14","86","106","44.79","1","0","100.00","11.76","87.84","0.996","44","35","15","133","74.58","75","45","33","69.44"
"196","Andrew Copp","DET","C","34","507.95","471","527","47.19","336","354","48.70","228","219","51.01","26","30","46.43","25.35","26.06","49.30","215","241","47.15","106","98","51.96","10","14","41.67","109","143","43.25","10","9","52.63","282","334","45.78","4","7","36.36","11.40","86.30","0.977","82","120","134","372","37.96","147","171","198","42.61"
"686","Ryker Evans","SEA","D","17","294.98333333333","259","290","47.18","197","213","48.05","126","139","47.55","11","13","45.83","11.99","15.36","43.85","114","142","44.53","43","61","41.35","5","5","50.00","71","81","46.71","4","5","44.44","155","153","50.32","2","2","50.00","8.73","90.65","0.994","25","56","31","223","44.64","61","78","66","48.03"
"789","Dmitri Simashev","UTA","D","24","371.35","308","346","47.09","234","243","49.06","160","164","49.38","7","17","29.17","16.1","16.88","48.83","138","181","43.26","65","83","43.92","1","8","11.11","73","98","42.69","3","6","33.33","188","187","50.13","3","3","50.00","4.38","89.63","0.940","49","102","46","300","51.58","107","129","101","51.44"
"622","Yan Kuznetsov","CGY","D","20","405.73333333333","374","421","47.04","267","299","47.17","188","191","49.60","12","16","42.86","18.84","22.22","45.89","166","215","43.57","76","86","46.91","3","8","27.27","90","129","41.10","4","6","40.00","218","233","48.34","3","2","60.00","6.38","91.62","0.980","37","91","64","381","36.63","117","138","124","48.55"
"53","Reilly Smith","VGK","R","28","373.86666666667","341","384","47.03","243","271","47.28","158","163","49.22","8","12","40.00","13.6","18.31","42.61","156","184","45.88","54","72","42.86","2","8","20.00","102","112","47.66","3","1","75.00","195","218","47.22","3","3","50.00","5.06","92.64","0.977","47","96","63","303","42.73","92","131","111","45.32"
"134","Colin Miller","WPG","D","10","148.81666666667","123","139","46.95","87","100","46.52","53","76","41.09","1","7","12.50","5.9","7.35","44.53","58","80","42.03","24","33","42.11","1","2","33.33","34","47","41.98","0","3","0.00","75","63","54.35","0","2","0.00","1.89","90.79","0.927","16","32","16","122","50.00","39","39","32","54.93"
"25","Lars Eller","OTT","C","28","363.3","307","347","46.94","197","236","45.50","130","167","43.77","10","23","30.30","13.12","16.96","43.61","152","162","48.41","49","52","48.51","6","12","33.33","103","110","48.36","0","9","0.00","173","216","44.47","4","2","66.67","7.69","86.23","0.939","60","78","98","297","37.97","88","107","148","37.29"
"375","Dennis Cholowski","N.J","D","15","216.93333333333","184","209","46.82","142","150","48.63","90","94","48.91","5","10","33.33","8.24","8.64","48.83","83","90","47.98","32","37","46.38","1","7","12.50","51","53","49.04","3","0","100.00","106","123","46.29","1","3","25.00","5.56","89.36","0.949","21","31","26","198","44.68","41","49","54","43.16"
"730","Owen Pickering","PIT","D","4","48.383333333333","44","50","46.81","32","38","45.71","25","26","49.02","2","5","28.57","1.95","2.53","43.60","22","23","48.89","8","12","40.00","1","3","25.00","14","11","56.00","0","1","0.00","23","31","42.59","1","1","50.00","8.00","80.77","0.888","5","13","8","47","38.46","13","18","13","50.00"
"61","Erik Haula","NSH","L","32","535.63333333333","482","548","46.80","343","414","45.31","220","282","43.82","23","30","43.40","25.56","34.32","42.69","218","275","44.22","88","128","40.74","11","14","44.00","130","147","46.93","8","11","42.11","319","310","50.72","4","4","50.00","10.45","89.36","0.998","93","106","100","414","48.19","183","153","185","49.73"
"544","Philip Tomasino","PIT","R","9","109.55","94","107","46.77","59","71","45.38","34","50","40.48","2","3","40.00","3.81","4.01","48.73","44","46","48.89","15","16","48.39","0","1","0.00","29","30","49.15","1","1","50.00","57","63","47.50","1","1","50.00","5.88","94.00","0.999","13","23","9","85","59.09","25","30","18","58.14"
"138","Yanni Gourde","T.B","C","33","537.95","443","505","46.73","313","369","45.89","197","241","44.98","18","20","47.37","25.42","27.28","48.24","199","247","44.62","94","107","46.77","8","11","42.11","105","140","42.86","7","6","53.85","254","326","43.79","3","3","50.00","9.14","91.70","1.008","74","153","113","359","39.57","123","185","194","38.80"
"415","Jesper Boqvist","FLA","C","32","383.28333333333","327","373","46.71","234","256","47.76","144","159","47.52","11","12","47.83","15.67","16.56","48.61","144","161","47.21","66","72","47.83","6","6","50.00","78","89","46.71","3","4","42.86","203","220","47.99","2","2","50.00","7.64","92.45","1.001","74","108","46","337","61.67","118","145","91","56.46"
"738","Danila Yurov","MIN","R","27","328.73333333333","291","332","46.71","214","234","47.77","136","168","44.74","17","15","53.13","14.99","14.02","51.67","140","154","47.62","61","58","51.26","11","8","57.89","79","96","45.14","3","6","33.33","169","184","47.88","3","1","75.00","12.50","91.07","1.036","55","57","32","259","63.22","105","97","70","60.00"
"711","Isaac Howard","EDM","L","17","161.48333333333","134","153","46.69","94","106","47.00","59","57","50.86","6","8","42.86","5.31","6.28","45.83","45","70","39.13","16","22","42.11","2","2","50.00","29","48","37.66","2","3","40.00","93","81","53.45","1","3","25.00","10.17","85.96","0.961","27","27","15","153","64.29","40","35","37","51.95"
"153","Teuvo Teravainen","CHI","C","32","605.75","515","589","46.65","380","448","45.89","240","296","44.78","28","22","56.00","27.46","36.48","42.95","226","304","42.64","92","139","39.83","18","12","60.00","134","165","44.82","4","6","40.00","336","349","49.05","4","3","57.14","11.67","92.57","1.042","107","113","119","415","47.35","214","182","224","48.86"
"751","Jared Davidson","MTL","C","10","87.166666666667","76","87","46.63","51","60","45.95","33","32","50.77","2","6","25.00","3.45","3.62","48.84","35","39","47.30","10","14","41.67","1","2","33.33","25","25","50.00","1","4","20.00","45","43","51.14","0","0","-","6.06","81.25","0.873","12","17","8","81","60.00","19","22","21","47.50"
"484","Noah Dobson","MTL","D","33","743.6","681","781","46.58","495","532","48.20","320","341","48.41","40","45","47.06","36.96","45.37","44.90","326","390","45.53","123","178","40.86","17","24","41.46","203","212","48.92","14","15","48.28","395","440","47.31","9","5","64.29","12.50","86.80","0.993","80","152","114","499","41.24","215","223","246","46.64"
"668","Logan Mailloux","STL","D","21","283.38333333333","242","278","46.54","167","204","45.01","99","129","43.42","6","22","21.43","9.78","17.54","35.81","108","140","43.55","44","73","37.61","2","14","12.50","64","67","48.85","2","4","33.33","154","141","52.20","2","4","33.33","6.06","82.95","0.890","48","63","22","249","68.57","87","82","56","60.84"
"113","Joel Edmundson","L.A","D","32","586.38333333333","509","585","46.53","358","425","45.72","230","290","44.23","23","27","46.00","24.52","29.49","45.40","218","277","44.04","92","128","41.82","13","13","50.00","126","149","45.82","6","6","50.00","313","392","44.40","4","8","33.33","10.00","90.69","1.007","80","80","124","466","39.22","179","150","247","42.02"
"140","Hampus Lindholm","BOS","D","26","574.36666666667","526","605","46.51","391","435","47.34","244","298","45.02","30","33","47.62","29.28","32.48","47.41","235","301","43.84","85","113","42.93","11","18","37.93","150","188","44.38","12","7","63.16","330","378","46.61","6","6","50.00","12.30","88.93","1.012","62","121","131","393","32.12","172","173","255","40.28"
"349","Brandon Tanev","UTA","L","29","284.51666666667","225","259","46.49","158","172","47.88","101","110","47.87","4","14","22.22","8.97","11.99","42.81","96","124","43.64","36","53","40.45","2","3","40.00","60","71","45.80","1","7","12.50","116","149","43.77","1","4","20.00","3.96","87.27","0.912","34","74","44","273","43.59","51","105","90","36.17"
"374","Noah Gregor","FLA","L","18","151.26666666667","126","145","46.49","89","100","47.09","57","66","46.34","3","9","25.00","6.14","7.2","46.04","56","64","46.67","24","28","46.15","2","6","25.00","32","36","47.06","0","2","0.00","73","77","48.67","1","1","50.00","5.26","86.36","0.916","36","44","13","131","73.47","52","54","32","61.90"
"83","Jaden Schwartz","SEA","L","23","395.85","361","416","46.46","244","290","45.69","161","192","45.61","21","14","60.00","20.97","20.99","49.97","159","190","45.56","64","72","47.06","7","8","46.67","95","118","44.60","6","2","75.00","217","260","45.49","7","4","63.64","13.04","92.71","1.058","80","76","82","270","49.38","118","100","150","44.03"
"315","Mathieu Joseph","STL","R","28","364.7","285","329","46.42","209","226","48.05","140","155","47.46","14","16","46.67","13.87","15.28","47.57","137","147","48.24","66","66","50.00","8","11","42.11","71","81","46.71","4","4","50.00","155","189","45.06","1","1","50.00","10.00","89.68","0.997","51","88","37","323","57.95","78","116","83","48.45"
"721","Denton Mateychuk","CBJ","D","32","636.88333333333","582","672","46.41","424","499","45.94","287","333","46.29","25","41","37.88","27.99","38.65","42.00","283","340","45.43","114","147","43.68","16","14","53.33","169","193","46.69","7","17","29.17","324","425","43.26","2","10","16.67","8.71","87.69","0.964","73","116","135","395","35.10","151","182","262","36.56"
"693","Emil Lilleberg","T.B","D","32","555","460","532","46.37","344","391","46.80","238","263","47.50","27","25","51.92","25.3","30.68","45.20","231","249","48.13","97","117","45.33","13","13","50.00","134","132","50.38","11","9","55.00","262","343","43.31","3","3","50.00","11.34","90.49","1.018","71","121","89","437","44.38","160","184","190","45.71"
"143","Brady Skjei","NSH","D","32","715.8","629","728","46.35","459","582","44.09","316","388","44.89","29","46","38.67","34.37","49.27","41.10","291","363","44.50","129","172","42.86","17","23","42.50","162","191","45.89","6","14","30.00","373","454","45.10","5","7","41.67","9.18","88.14","0.973","70","147","145","498","32.56","188","240","333","36.08"
"613","Brett Berard","NYR","L","11","120.85","108","125","46.35","73","75","49.32","42","54","43.75","2","3","40.00","5.21","5.5","48.64","52","51","50.49","22","24","47.83","0","1","0.00","30","27","52.63","2","1","66.67","55","69","44.35","0","1","0.00","4.76","94.44","0.992","8","22","10","137","44.44","19","33","30","38.78"
"756","Xavier Parent","N.J","C","3","26.9","25","29","46.30","18","21","46.15","10","15","40.00","1","2","33.33","0.66","1.4","32.09","5","15","25.00","2","6","25.00","1","1","50.00","3","9","25.00","0","1","0.00","24","16","60.00","0","0","-","10.00","86.67","0.967","1","2","5","29","16.67","7","4","11","38.89"
"781","Tom Willander","VAN","D","23","313.35","278","323","46.26","196","245","44.44","121","160","43.06","13","10","56.52","13.64","15.57","46.70","128","147","46.55","51","69","42.50","4","7","36.36","77","78","49.68","4","0","100.00","174","197","46.90","5","3","62.50","10.74","93.75","1.045","52","61","39","292","57.14","91","96","76","54.49"
"788","Nikolas Matinpalo","OTT","D","23","342.03333333333","288","335","46.23","190","237","44.50","124","158","43.97","11","16","40.74","14.68","14.81","49.78","141","148","48.79","50","58","46.30","6","9","40.00","91","90","50.28","4","5","44.44","149","189","44.08","1","2","33.33","8.87","89.87","0.987","31","82","41","381","43.06","58","128","85","40.56"
"316","Lawson Crouse","UTA","L","35","543.2","506","589","46.21","364","428","45.96","234","275","45.97","25","27","48.08","28.21","36.44","43.63","241","303","44.30","114","136","45.60","12","16","42.86","127","167","43.20","6","10","37.50","293","384","43.28","5","1","83.33","10.68","90.18","1.009","82","136","159","389","34.02","141","170","272","34.14"
"59","Nicolas Deslauriers","PHI","L","14","117.9","79","92","46.20","54","60","47.37","26","37","41.27","0","2","0.00","3.24","4.03","44.56","34","41","45.33","15","17","46.88","0","1","0.00","19","24","44.19","0","0","-","51","49","51.00","0","1","0.00","0.00","94.59","0.946","17","23","12","105","58.62","23","33","21","52.27"
"388","Joona Koppanen","PIT","L","10","124.66666666667","103","120","46.19","71","86","45.22","39","58","40.21","3","5","37.50","4.56","6.36","41.76","43","57","43.00","19","30","38.78","0","5","0.00","24","27","47.06","1","0","100.00","53","83","38.97","1","0","100.00","7.69","91.38","0.991","9","24","38","99","19.15","17","35","56","23.29"
"503","Paul Cotter","N.J","L","33","409.4","344","401","46.17","245","285","46.23","157","182","46.31","14","21","40.00","14.33","18.24","44.00","136","186","42.24","58","89","39.46","8","13","38.10","78","97","44.57","4","6","40.00","212","222","48.85","2","2","50.00","8.92","88.46","0.974","72","73","45","348","61.54","120","116","111","51.95"
"36","Adam Henrique","EDM","C","34","489.15","407","475","46.15","295","311","48.68","185","195","48.68","14","27","34.15","22.88","23.91","48.90","181","236","43.41","79","94","45.66","5","13","27.78","102","142","41.80","7","10","41.18","233","291","44.47","2","4","33.33","7.57","86.15","0.937","64","92","139","358","31.53","109","119","233","31.87"
"719","Maveric Lamoureux","UTA","D","5","73.266666666667","66","77","46.15","48","50","48.98","28","33","45.90","5","1","83.33","2.44","3.19","43.35","27","36","42.86","11","12","47.83","1","1","50.00","16","24","40.00","1","0","100.00","39","37","51.32","3","0","100.00","17.86","96.97","1.148","5","6","6","80","45.45","11","13","14","44.00"
